zcta5,obesity_pct,physical_inactivity_pct,totalpopulation,totalpop18plus
01001,31.6,24.7,16984,14019
01002,21.3,18.0,27558,23853
01003,13.9,11.5,13253,13181
01005,34.3,25.3,4900,3889
01007,24.2,17.3,15423,12248
01008,31.6,23.6,1317,1099
01009,33.8,25.2,980,779
01010,30.9,21.6,3711,3021
01011,31.3,22.9,1201,1020
01012,23.8,16.2,519,440
01013,35.3,30.5,23656,18521
01020,34.3,29.3,29781,24349
01022,33.3,29.4,2158,1872
01026,24.5,18.4,1011,864
01027,24.8,19.3,17896,15089
01028,28.8,21.1,16417,13065
01029,30.5,20.8,714,643
01030,31.3,23.1,11708,9538
01031,33.2,23.4,1406,1132
01032,23.3,17.0,483,397
01033,23.8,18.1,6092,5024
01034,31.4,22.9,1977,1652
01035,20.8,15.1,5325,4558
01036,29.5,20.8,4966,4162
01037,32.7,23.5,706,568
01038,24.1,18.0,2522,2147
01039,24.1,17.6,1511,1262
01040,38.3,37.5,38238,29727
01050,26.7,21.4,2467,1995
01053,22.4,18.2,2031,1768
01054,23.6,18.0,1889,1592
01056,33.0,26.7,21002,17568
01057,33.2,25.7,8152,6766
01060,23.7,17.7,14461,12439
01062,24.5,18.2,10910,8906
01063,13.9,12.1,2106,2077
01066,23.4,17.7,215,188
01068,31.9,20.9,1904,1540
01069,33.2,26.7,8428,6976
01070,24.6,19.1,577,489
01071,31.0,21.6,1486,1178
01072,24.8,17.4,1366,1133
01073,23.6,17.0,6224,5007
01074,34.2,25.7,584,426
01075,21.7,17.0,18168,15419
01077,31.3,23.0,9237,7616
01079,33.0,25.9,701,563
01080,32.4,24.6,2400,1893
01081,32.1,23.7,1684,1337
01082,28.4,24.6,10565,8439
01083,33.7,23.7,2549,2031
01084,23.5,16.9,185,154
01085,31.6,24.5,41529,33794
01088,23.2,17.7,598,521
01089,33.3,27.4,28835,22989
01092,33.9,23.1,1343,1039
01093,26.5,19.5,290,262
01094,34.1,24.2,60,55
01095,29.2,20.5,14694,11608
01096,23.6,16.8,2509,2107
01097,33.6,21.8,130,106
01098,24.5,18.8,1147,994
01103,46.1,46.3,2545,2176
01104,40.6,40.1,23598,17954
01105,47.2,50.0,12051,8771
01106,27.5,18.9,16165,12382
01107,44.5,49.3,11252,7773
01108,39.8,38.4,27671,20293
01109,39.9,36.8,30968,23402
01118,34.5,28.5,14296,11265
01119,35.5,31.5,14393,11507
01128,33.3,26.0,2647,2218
01129,34.6,27.2,7024,5690
01151,39.0,35.3,9150,6604
01201,32.9,23.6,45494,36778
01220,33.2,24.6,8166,6640
01222,30.6,20.1,835,691
01223,31.4,20.3,2430,2044
01224,31.1,19.2,217,175
01225,31.4,21.5,3258,2685
01226,30.6,20.8,6324,5101
01229,30.9,20.7,189,182
01230,29.0,20.0,8907,7425
01235,31.8,22.1,2733,2308
01236,28.6,17.4,1513,1200
01237,31.2,20.3,2365,1932
01238,29.4,20.3,5722,4855
01240,28.4,21.7,4692,4022
01242,29.6,18.5,449,375
01243,24.1,18.8,175,151
01244,31.8,19.5,287,250
01245,28.8,19.2,933,826
01247,33.5,25.6,15147,12522
01253,30.7,21.2,808,703
01254,30.0,20.9,946,829
01255,30.3,20.8,959,809
01256,32.9,23.6,645,578
01257,30.2,20.6,2140,1816
01258,28.3,18.5,160,146
01259,30.0,20.4,643,536
01260,28.4,19.1,233,183
01262,29.5,21.1,1758,1564
01264,27.7,20.9,219,197
01266,28.3,17.0,1208,1027
01267,26.0,17.3,7876,6814
01270,30.9,19.2,755,658
01301,27.4,23.8,18042,14859
01330,24.5,18.3,1500,1278
01331,35.2,27.6,13656,10847
01337,25.9,21.3,2562,2138
01338,26.1,22.0,127,116
01339,25.8,21.4,1487,1244
01340,26.0,21.3,1803,1492
01341,24.9,18.3,1539,1280
01342,25.1,18.7,1538,1222
01343,32.6,23.8,165,137
01344,26.0,20.5,1665,1338
01346,26.0,21.5,352,289
01347,25.5,21.3,204,176
01349,26.7,20.2,827,657
01350,26.5,21.6,118,87
01351,26.6,21.3,2293,1936
01354,25.9,21.0,1546,1272
01355,24.4,18.1,879,729
01360,25.0,19.7,2871,2371
01364,30.3,28.8,7665,6159
01366,33.2,22.7,1187,976
01367,25.2,22.0,506,415
01368,34.4,26.2,1283,1070
01370,25.7,20.7,3932,3355
01373,25.5,19.9,4526,3780
01375,23.6,18.7,3639,3185
01376,28.0,24.5,5324,4335
01378,25.8,21.4,780,662
01379,26.6,21.8,774,640
01380,25.7,19.8,82,64
01420,35.6,28.9,41940,32684
01430,32.6,20.9,6303,4867
01431,26.2,18.7,3193,2556
01432,26.4,20.6,8221,6679
01434,33.2,21.2,1652,1537
01436,34.2,25.8,3208,2514
01438,32.0,22.4,414,345
01440,35.7,28.2,21577,17566
01450,24.2,16.0,11298,8651
01451,28.8,17.8,5461,4240
01452,32.7,22.3,4328,3523
01453,34.0,25.7,43752,34853
01460,23.9,16.9,10141,7883
01462,31.4,20.8,11818,9256
01463,25.9,18.4,11621,9257
01464,27.0,19.6,7427,6233
01468,32.9,22.2,4309,3418
01469,26.9,19.6,7055,5587
01473,31.6,20.3,8213,6431
01474,26.7,19.7,2072,1675
01475,34.9,25.6,10304,8155
01501,31.0,21.4,16731,13386
01503,29.9,18.9,3158,2577
01504,32.0,21.2,9208,7377
01505,30.5,18.8,4849,3836
01506,34.7,26.0,3439,2808
01507,31.2,20.7,13315,10498
01510,33.6,23.6,15428,12422
01515,32.1,22.2,2224,1772
01516,31.2,18.9,8962,7072
01518,31.3,19.5,3176,2364
