zcta5,obesity_pct,physical_inactivity_pct,totalpopulation,totalpop18plus
01519,30.0,18.4,7254,5603
01520,29.5,18.1,16394,12450
01521,32.2,23.4,2603,2133
01522,30.2,17.4,3464,2650
01523,30.8,19.0,8377,6828
01524,32.0,22.4,6621,5401
01525,25.3,18.9,73,60
01527,31.7,22.0,13799,11251
01529,32.9,21.8,3174,2504
01531,33.1,23.2,996,799
01532,28.0,17.5,15741,12154
01534,32.7,23.4,6233,4933
01535,33.9,24.6,4735,3834
01536,30.2,20.0,7514,5903
01537,32.5,22.2,2141,1808
01540,33.5,23.5,11032,8925
01541,30.1,17.5,3495,2834
01542,32.1,22.9,2366,1894
01543,31.1,19.2,9049,6812
01545,26.6,18.8,38316,29602
01550,37.3,32.1,17740,13994
01560,28.8,20.3,4896,3681
01562,33.5,24.6,11992,9819
01564,30.3,18.8,7985,6455
01566,30.2,19.4,6691,5292
01568,29.9,17.5,7900,6119
01569,31.5,20.7,14193,11384
01570,35.2,27.3,17776,14479
01571,33.4,24.1,11921,9509
01581,26.7,18.9,21567,16240
01583,31.1,21.7,7652,6378
01585,33.7,25.6,4899,4035
01588,32.7,22.2,10106,8030
01590,30.7,18.5,9279,7320
01602,31.9,23.1,25382,20816
01603,36.4,32.5,22417,17782
01604,35.7,28.7,41301,32926
01605,37.2,31.0,29218,21985
01606,33.6,24.6,21651,17619
01607,37.4,28.9,9378,7283
01608,36.8,31.7,4996,4054
01609,33.2,27.8,23870,20727
01610,37.1,34.2,28717,22708
01611,32.5,22.2,2277,1833
01612,28.4,17.6,5051,4072
01701,24.2,17.9,33005,26640
01702,28.2,25.3,39515,31031
01718,22.8,17.2,688,520
01719,21.8,15.6,5506,4350
01720,21.7,16.1,23232,17593
01721,24.0,17.0,18832,14763
01730,22.3,16.6,14566,11271
01731,24.5,12.6,1555,955
01740,27.7,14.3,5665,4146
01741,21.7,13.7,5237,4013
01742,22.6,15.4,18545,14416
01745,25.9,15.4,433,352
01746,24.0,16.2,14996,11249
01747,30.6,19.6,6017,4700
01748,22.5,14.9,18758,13564
01749,25.6,19.2,20092,16179
01752,27.1,22.4,41793,33511
01754,24.9,16.4,10730,8580
01756,30.9,18.6,6228,4801
01757,33.2,24.9,30479,23949
01760,23.0,16.1,36659,28678
01770,21.9,13.1,4401,3227
01772,27.0,15.7,10017,7564
01773,21.9,15.9,5651,4626
01775,23.4,14.7,7190,5545
01776,22.1,13.9,18934,13811
01778,21.8,14.8,14132,10612
01801,25.6,20.2,40891,33485
01803,22.8,18.0,26074,20857
01810,24.7,16.9,35621,27167
01821,24.6,18.4,30909,25060
01824,23.6,17.4,26881,21248
01826,26.3,20.9,32689,25855
01827,24.0,15.6,3358,2591
01830,32.6,27.6,27553,22108
01832,32.3,26.7,25656,19871
01833,27.4,17.4,8410,6510
01834,27.6,18.9,6752,5384
01835,29.9,21.5,14578,11541
01840,39.7,44.4,7121,5489
01841,37.9,40.0,53654,39222
01843,35.3,34.6,28346,21053
01844,30.9,26.0,52970,41825
01845,26.5,19.0,31855,24910
01850,31.3,29.9,16670,12359
01851,24.4,28.3,32691,25089
01852,28.2,26.1,36708,28774
01854,26.8,27.0,29561,24058
01860,29.3,21.1,6723,5456
