year,zcta5,measure,data_value,data_value_type,totalpopulation,totalpop18plus
2023,01084,Obesity,23.5,Crude prevalence,185,154
2023,01085,Physical Inactivity,24.5,Crude prevalence,41529,33794
2023,01085,Obesity,31.6,Crude prevalence,41529,33794
2023,01088,Physical Inactivity,17.7,Crude prevalence,598,521
2023,01088,Obesity,23.2,Crude prevalence,598,521
2023,01089,Physical Inactivity,27.4,Crude prevalence,28835,22989
2023,01089,Obesity,33.3,Crude prevalence,28835,22989
2023,01092,Physical Inactivity,23.1,Crude prevalence,1343,1039
2023,01092,Obesity,33.9,Crude prevalence,1343,1039
2023,01093,Physical Inactivity,19.5,Crude prevalence,290,262
2023,01093,Obesity,26.5,Crude prevalence,290,262
2023,01094,Physical Inactivity,24.2,Crude prevalence,60,55
2023,01094,Obesity,34.1,Crude prevalence,60,55
2023,01095,Physical Inactivity,20.5,Crude prevalence,14694,11608
2023,01095,Obesity,29.2,Crude prevalence,14694,11608
2023,01096,Physical Inactivity,16.8,Crude prevalence,2509,2107
2023,01096,Obesity,23.6,Crude prevalence,2509,2107
2023,01097,Physical Inactivity,21.8,Crude prevalence,130,106
2023,01097,Obesity,33.6,Crude prevalence,130,106
2023,01098,Physical Inactivity,18.8,Crude prevalence,1147,994
2023,01098,Obesity,24.5,Crude prevalence,1147,994
2023,01103,Physical Inactivity,46.3,Crude prevalence,2545,2176
2023,01103,Obesity,46.1,Crude prevalence,2545,2176
2023,01104,Physical Inactivity,40.1,Crude prevalence,23598,17954
2023,01104,Obesity,40.6,Crude prevalence,23598,17954
2023,01105,Physical Inactivity,50.0,Crude prevalence,12051,8771
2023,01105,Obesity,47.2,Crude prevalence,12051,8771
2023,01106,Physical Inactivity,18.9,Crude prevalence,16165,12382
2023,01106,Obesity,27.5,Crude prevalence,16165,12382
2023,01107,Physical Inactivity,49.3,Crude prevalence,11252,7773
2023,01107,Obesity,44.5,Crude prevalence,11252,7773
2023,01108,Physical Inactivity,38.4,Crude prevalence,27671,20293
2023,01108,Obesity,39.8,Crude prevalence,27671,20293
2023,01109,Physical Inactivity,36.8,Crude prevalence,30968,23402
2023,01109,Obesity,39.9,Crude prevalence,30968,23402
2023,01118,Physical Inactivity,28.5,Crude prevalence,14296,11265
2023,01118,Obesity,34.5,Crude prevalence,14296,11265
2023,01119,Physical Inactivity,31.5,Crude prevalence,14393,11507
2023,01119,Obesity,35.5,Crude prevalence,14393,11507
2023,01128,Physical Inactivity,26.0,Crude prevalence,2647,2218
2023,01128,Obesity,33.3,Crude prevalence,2647,2218
2023,01129,Physical Inactivity,27.2,Crude prevalence,7024,5690
2023,01129,Obesity,34.6,Crude prevalence,7024,5690
2023,01151,Physical Inactivity,35.3,Crude prevalence,9150,6604
2023,01151,Obesity,39.0,Crude prevalence,9150,6604
2023,01201,Physical Inactivity,23.6,Crude prevalence,45494,36778
2023,01201,Obesity,32.9,Crude prevalence,45494,36778
2023,01220,Physical Inactivity,24.6,Crude prevalence,8166,6640
2023,01220,Obesity,33.2,Crude prevalence,8166,6640
2023,01222,Physical Inactivity,20.1,Crude prevalence,835,691
2023,01222,Obesity,30.6,Crude prevalence,835,691
2023,01223,Physical Inactivity,20.3,Crude prevalence,2430,2044
2023,01223,Obesity,31.4,Crude prevalence,2430,2044
2023,01224,Physical Inactivity,19.2,Crude prevalence,217,175
2023,01224,Obesity,31.1,Crude prevalence,217,175
2023,01225,Physical Inactivity,21.5,Crude prevalence,3258,2685
2023,01225,Obesity,31.4,Crude prevalence,3258,2685
2023,01226,Physical Inactivity,20.8,Crude prevalence,6324,5101
2023,01226,Obesity,30.6,Crude prevalence,6324,5101
2023,01229,Physical Inactivity,20.7,Crude prevalence,189,182
2023,01229,Obesity,30.9,Crude prevalence,189,182
2023,01230,Physical Inactivity,20.0,Crude prevalence,8907,7425
2023,01230,Obesity,29.0,Crude prevalence,8907,7425
